DB 0 MOTIF	FILTER_LEN10_0
  -2.0	3
  -1.0	3
   0.0	3
   1.0	2
   2.0	1
   3.0	1
   4.0	2
   5.0	0
   6.0	2
   7.0	0
   8.0	1
   9.0	0
  10.0	0
  11.0	0
  12.0	0
  13.0	0
  14.0	1
  15.0	0
  16.0	0
  17.0	0
  18.0	0
  19.0	0
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0.333333
  30.0	0
  31.0	1
  32.0	0
  33.0	1
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	1
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0.333333
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_2
 -85.0	6.5
 -84.0	8
 -83.0	6
 -82.0	2
 -81.0	7
 -80.0	2
 -79.0	2
 -78.0	5
 -77.0	9
 -76.0	14
 -75.0	4
 -74.0	5
 -73.0	5
 -72.0	6.5
 -71.0	5
 -70.0	6
 -69.0	10
 -68.0	10
 -67.0	14
 -66.0	11
 -65.0	2
 -64.0	10
 -63.0	11
 -62.0	10
 -61.0	6
 -60.0	4
 -59.0	7
 -58.0	5
 -57.0	6
 -56.0	4
 -55.0	6
 -54.0	6
 -53.0	7
 -52.0	6
 -51.0	6
 -50.0	7
 -49.0	7
 -48.0	3
 -47.0	10
 -46.0	8
 -45.0	4
 -44.0	1
 -43.0	5
 -42.0	8
 -41.0	8
 -40.0	8
 -39.0	3
 -38.0	2
 -37.0	7
 -36.0	4
 -35.0	4
 -34.0	7
 -33.0	6
 -32.0	7
 -31.0	4
 -30.0	7
 -29.0	4
 -28.0	5
 -27.0	5
 -26.0	6
 -25.0	6
 -24.0	7
 -23.0	0
 -22.0	5
 -21.0	2
 -20.0	2
 -19.0	5
 -18.0	4
 -17.0	4
 -16.0	3
 -15.0	2
 -14.0	3
 -13.0	2
 -12.0	3
 -11.0	1
 -10.0	1
  -9.0	4
  -8.0	1
  -7.0	1
  -6.0	1
  -5.0	4
  -4.0	1
  -3.0	0
  -2.0	1
  -1.0	1
   0.0	0
   1.0	3
   2.0	1
   3.0	3
   4.0	1
   5.0	0
   6.0	0
   7.0	0
   8.0	0
   9.0	0
  10.0	0
  11.0	0
  12.0	0
  13.0	0
  14.0	1
  15.0	0
  16.0	0
  17.0	0
  18.0	3
  19.0	0
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	1
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	4
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_3
 -85.0	8.33333
 -84.0	11
 -83.0	9
 -82.0	11
 -81.0	13
 -80.0	13
 -79.0	9
 -78.0	8
 -77.0	2
 -76.0	7
 -75.0	5
 -74.0	7
 -73.0	9
 -72.0	11
 -71.0	13
 -70.0	26
 -69.0	5
 -68.0	4
 -67.0	8
 -66.0	13
 -65.0	14
 -64.0	7
 -63.0	6
 -62.0	6
 -61.0	7.33333
 -60.0	7
 -59.0	5
 -58.0	3
 -57.0	8
 -56.0	5
 -55.0	5
 -54.0	7
 -53.0	3
 -52.0	6
 -51.0	7
 -50.0	3
 -49.0	6
 -48.0	4
 -47.0	5
 -46.0	10
 -45.0	9
 -44.0	6
 -43.0	6
 -42.0	7
 -41.0	5
 -40.0	5
 -39.0	6
 -38.0	5
 -37.0	8.33333
 -36.0	4
 -35.0	4
 -34.0	4
 -33.0	6
 -32.0	3
 -31.0	4
 -30.0	6
 -29.0	2
 -28.0	2
 -27.0	8
 -26.0	8
 -25.0	6
 -24.0	5
 -23.0	4
 -22.0	3
 -21.0	5
 -20.0	6
 -19.0	5
 -18.0	5
 -17.0	4
 -16.0	3
 -15.0	2
 -14.0	1
 -13.0	5
 -12.0	1
 -11.0	2
 -10.0	1
  -9.0	2
  -8.0	2
  -7.0	1
  -6.0	1
  -5.0	2
  -4.0	1
  -3.0	1
  -2.0	1
  -1.0	2
   0.0	0
   1.0	0
   2.0	0
   3.0	0
   4.0	0
   5.0	2
   6.0	0
   7.0	1
   8.0	0
   9.0	0
  10.0	0
  11.0	0
  12.0	1
  13.0	2
  14.0	0
  15.0	0
  16.0	1
  17.0	0
  18.0	1
  19.0	1
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	1
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	2
  46.0	0
  47.0	1
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_4
 -85.0	2
 -84.0	2
 -83.0	3
 -82.0	1
 -81.0	6
 -80.0	3
 -79.0	0
 -78.0	4
 -77.0	4
 -76.0	3
 -75.0	3
 -74.0	4
 -73.0	2
 -72.0	6
 -71.0	4
 -70.0	4
 -69.0	3
 -68.0	8
 -67.0	7
 -66.0	6
 -65.0	8
 -64.0	6
 -63.0	7
 -62.0	6
 -61.0	3
 -60.0	7
 -59.0	6
 -58.0	6
 -57.0	5
 -56.0	2
 -55.0	8
 -54.0	5
 -53.0	3
 -52.0	10
 -51.0	3.5
 -50.0	2
 -49.0	6
 -48.0	7
 -47.0	9
 -46.0	10
 -45.0	9
 -44.0	3
 -43.0	8
 -42.0	6
 -41.0	11
 -40.0	5
 -39.0	12
 -38.0	6
 -37.0	4
 -36.0	8
 -35.0	7
 -34.0	7
 -33.0	9
 -32.0	9
 -31.0	13
 -30.0	5
 -29.0	3.5
 -28.0	12
 -27.0	9
 -26.0	4
 -25.0	6
 -24.0	3
 -23.0	7
 -22.0	7
 -21.0	2
 -20.0	6
 -19.0	1
 -18.0	3
 -17.0	5
 -16.0	4
 -15.0	2
 -14.0	2
 -13.0	7
 -12.0	2
 -11.0	3
 -10.0	3
  -9.0	6
  -8.0	1
  -7.0	2
  -6.0	2
  -5.0	2
  -4.0	2
  -3.0	1
  -2.0	1
  -1.0	2
   0.0	0
   1.0	2
   2.0	1
   3.0	1
   4.0	2
   5.0	1
   6.0	1
   7.0	1
   8.0	0
   9.0	0
  10.0	0
  11.0	0
  12.0	0
  13.0	0
  14.0	1
  15.0	4
  16.0	0
  17.0	0
  18.0	0
  19.0	0
  20.0	1
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	3
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_5
 -85.0	10
 -84.0	8
 -83.0	4
 -82.0	2
 -81.0	7
 -80.0	4
 -79.0	5.5
 -78.0	5
 -77.0	8.5
 -76.0	7
 -75.0	4
 -74.0	4
 -73.0	6
 -72.0	18
 -71.0	8
 -70.0	5
 -69.0	5
 -68.0	1
 -67.0	3
 -66.0	3
 -65.0	6
 -64.0	7
 -63.0	5
 -62.0	5
 -61.0	7
 -60.0	8
 -59.0	6
 -58.0	8
 -57.0	6
 -56.0	10
 -55.0	12
 -54.0	5
 -53.0	4
 -52.0	3
 -51.0	8
 -50.0	6
 -49.0	7
 -48.0	3
 -47.0	3
 -46.0	11
 -45.0	6
 -44.0	2
 -43.0	13
 -42.0	8
 -41.0	8
 -40.0	10
 -39.0	6
 -38.0	11
 -37.0	12
 -36.0	9
 -35.0	9
 -34.0	9
 -33.0	9
 -32.0	6
 -31.0	3
 -30.0	9
 -29.0	5
 -28.0	7
 -27.0	5
 -26.0	5
 -25.0	8
 -24.0	5
 -23.0	9
 -22.0	7
 -21.0	3
 -20.0	5
 -19.0	8
 -18.0	8
 -17.0	2
 -16.0	3
 -15.0	2
 -14.0	11
 -13.0	3
 -12.0	5.5
 -11.0	1
 -10.0	4
  -9.0	1
  -8.0	3
  -7.0	1
  -6.0	3.5
  -5.0	5
  -4.0	5.5
  -3.0	3.5
  -2.0	1
  -1.0	2
   0.0	1
   1.0	2
   2.0	1
   3.0	2
   4.0	1
   5.0	2
   6.0	2
   7.0	1
   8.0	0
   9.0	1
  10.0	1
  11.0	1
  12.0	0
  13.0	1
  14.0	0
  15.0	1
  16.0	1
  17.0	1
  18.0	0
  19.0	0
  20.0	1
  21.0	0
  22.0	0
  23.0	1
  24.0	2
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	1
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	1
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_6
 -85.0	2
 -84.0	3
 -83.0	2
 -82.0	6
 -81.0	0
 -80.0	4
 -79.0	6
 -78.0	1
 -77.0	2
 -76.0	1
 -75.0	2.5
 -74.0	5
 -73.0	5.5
 -72.0	1
 -71.0	5
 -70.0	3
 -69.0	2
 -68.0	4
 -67.0	6
 -66.0	7
 -65.0	3
 -64.0	5
 -63.0	4
 -62.0	8.14286
 -61.0	5
 -60.0	4.14286
 -59.0	5
 -58.0	8.14286
 -57.0	6
 -56.0	7.14286
 -55.0	5
 -54.0	5.14286
 -53.0	9
 -52.0	7.14286
 -51.0	12
 -50.0	3.14286
 -49.0	9
 -48.0	4
 -47.0	5
 -46.0	8
 -45.0	5
 -44.0	4
 -43.0	5
 -42.0	3
 -41.0	8.5
 -40.0	10
 -39.0	3
 -38.0	4
 -37.0	7.5
 -36.0	9
 -35.0	3
 -34.0	4
 -33.0	8
 -32.0	7
 -31.0	2
 -30.0	5
 -29.0	2
 -28.0	2
 -27.0	4
 -26.0	5
 -25.0	4
 -24.0	3
 -23.0	4
 -22.0	9
 -21.0	1
 -20.0	0
 -19.0	4
 -18.0	1
 -17.0	4
 -16.0	5
 -15.0	3
 -14.0	3
 -13.0	3
 -12.0	1
 -11.0	0
 -10.0	4
  -9.0	2
  -8.0	0
  -7.0	1
  -6.0	1
  -5.0	0
  -4.0	3
  -3.0	1
  -2.0	0
  -1.0	2
   0.0	2
   1.0	2
   2.0	1
   3.0	0
   4.0	0
   5.0	1
   6.0	1
   7.0	0
   8.0	1
   9.0	0
  10.0	2
  11.0	0
  12.0	0
  13.0	1
  14.0	0
  15.0	0
  16.0	1
  17.0	0
  18.0	0
  19.0	0
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	1
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_7
 -85.0	2
 -84.0	5
 -83.0	5
 -82.0	4
 -81.0	5
 -80.0	3
 -79.0	10
 -78.0	5
 -77.0	3
 -76.0	0
 -75.0	5
 -74.0	2
 -73.0	1
 -72.0	2
 -71.0	2
 -70.0	4
 -69.0	2
 -68.0	1
 -67.0	1
 -66.0	3
 -65.0	3
 -64.0	3
 -63.0	3
 -62.0	2
 -61.0	6
 -60.0	7
 -59.0	2
 -58.0	3
 -57.0	3
 -56.0	7
 -55.0	10
 -54.0	5
 -53.0	8
 -52.0	2
 -51.0	7
 -50.0	2
 -49.0	1
 -48.0	5
 -47.0	4
 -46.0	2
 -45.0	9
 -44.0	1
 -43.0	5
 -42.0	6
 -41.0	9
 -40.0	17
 -39.0	10
 -38.0	2.5
 -37.0	6
 -36.0	6
 -35.0	5.5
 -34.0	4
 -33.0	3
 -32.0	2
 -31.0	5
 -30.0	3
 -29.0	7
 -28.0	4
 -27.0	3
 -26.0	3
 -25.0	3
 -24.0	1
 -23.0	7
 -22.0	2
 -21.0	6
 -20.0	1
 -19.0	4
 -18.0	1
 -17.0	1
 -16.0	2
 -15.0	0
 -14.0	3
 -13.0	1
 -12.0	2
 -11.0	2
 -10.0	2
  -9.0	2.25
  -8.0	0.25
  -7.0	0.25
  -6.0	3.25
  -5.0	0
  -4.0	2
  -3.0	0
  -2.0	1
  -1.0	1
   0.0	1
   1.0	0
   2.0	3
   3.0	2
   4.0	0
   5.0	0
   6.0	0
   7.0	0
   8.0	0
   9.0	1
  10.0	0
  11.0	0
  12.0	0
  13.0	1
  14.0	1
  15.0	0
  16.0	0
  17.0	0
  18.0	0
  19.0	0
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_8
 -85.0	5.5
 -84.0	5
 -83.0	4
 -82.0	10
 -81.0	1
 -80.0	5
 -79.0	6
 -78.0	9
 -77.0	15
 -76.0	6
 -75.0	6
 -74.0	4
 -73.0	7
 -72.0	9
 -71.0	6
 -70.0	9
 -69.0	8
 -68.0	1
 -67.0	13
 -66.0	2
 -65.0	3
 -64.0	7
 -63.0	12
 -62.0	2
 -61.0	8.5
 -60.0	11
 -59.0	9
 -58.0	7
 -57.0	2
 -56.0	5
 -55.0	3.5
 -54.0	10
 -53.0	7.5
 -52.0	10
 -51.0	6
 -50.0	9
 -49.0	5.5
 -48.0	12.5
 -47.0	6
 -46.0	7
 -45.0	3
 -44.0	5
 -43.0	4
 -42.0	10
 -41.0	10
 -40.0	7.5
 -39.0	3
 -38.0	6
 -37.0	3
 -36.0	5
 -35.0	1
 -34.0	8
 -33.0	4
 -32.0	8
 -31.0	4
 -30.0	5
 -29.0	5
 -28.0	8.5
 -27.0	3
 -26.0	7
 -25.0	4
 -24.0	4
 -23.0	8
 -22.0	4
 -21.0	2
 -20.0	2
 -19.0	3
 -18.0	3
 -17.0	3
 -16.0	4
 -15.0	1
 -14.0	4
 -13.0	4
 -12.0	3
 -11.0	6
 -10.0	1
  -9.0	3
  -8.0	1
  -7.0	4
  -6.0	2
  -5.0	0
  -4.0	1
  -3.0	3
  -2.0	3
  -1.0	3
   0.0	1
   1.0	3
   2.0	0
   3.0	0
   4.0	1
   5.0	1
   6.0	0
   7.0	1
   8.0	2
   9.0	1
  10.0	0
  11.0	0
  12.0	0
  13.0	0
  14.0	1
  15.0	0
  16.0	1
  17.0	0
  18.0	0
  19.0	0
  20.0	0
  21.0	0
  22.0	0
  23.0	1
  24.0	0
  25.0	0
  26.0	0
  27.0	2
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_9
 -85.0	2
 -84.0	5
 -83.0	5
 -82.0	6
 -81.0	1
 -80.0	4
 -79.0	6
 -78.0	5
 -77.0	3
 -76.0	9
 -75.0	6
 -74.0	1
 -73.0	3
 -72.0	5.5
 -71.0	4
 -70.0	5
 -69.0	5
 -68.0	1
 -67.0	3
 -66.0	3
 -65.0	8
 -64.0	2
 -63.0	6
 -62.0	3
 -61.0	6
 -60.0	0
 -59.0	4.5
 -58.0	4
 -57.0	5
 -56.0	4
 -55.0	7
 -54.0	7.5
 -53.0	6.5
 -52.0	4
 -51.0	4
 -50.0	10
 -49.0	2
 -48.0	7
 -47.0	6
 -46.0	6
 -45.0	7
 -44.0	6
 -43.0	7
 -42.0	2
 -41.0	7
 -40.0	7
 -39.0	6
 -38.0	6
 -37.0	5
 -36.0	7
 -35.0	4
 -34.0	8
 -33.0	8
 -32.0	6
 -31.0	7
 -30.0	2
 -29.0	5
 -28.0	7
 -27.0	6
 -26.0	5
 -25.0	2
 -24.0	7
 -23.0	2
 -22.0	3
 -21.0	5
 -20.0	6
 -19.0	1
 -18.0	3
 -17.0	2
 -16.0	4
 -15.0	4
 -14.0	1
 -13.0	3.5
 -12.0	3.5
 -11.0	4
 -10.0	4
  -9.0	3
  -8.0	3
  -7.0	3
  -6.0	1
  -5.0	0
  -4.0	3
  -3.0	1
  -2.0	3
  -1.0	1
   0.0	7
   1.0	2
   2.0	2
   3.0	0
   4.0	0
   5.0	0
   6.0	0
   7.0	0
   8.0	1
   9.0	1
  10.0	1
  11.0	3
  12.0	0
  13.0	0
  14.0	1
  15.0	0
  16.0	0
  17.0	0
  18.0	0
  19.0	0
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_10
 -85.0	3
 -84.0	9
 -83.0	6
 -82.0	6
 -81.0	6
 -80.0	10
 -79.0	7
 -78.0	6
 -77.0	5
 -76.0	8
 -75.0	8
 -74.0	12
 -73.0	7
 -72.0	11
 -71.0	5
 -70.0	2
 -69.0	7.5
 -68.0	2
 -67.0	8
 -66.0	10
 -65.0	5
 -64.0	9
 -63.0	6
 -62.0	4
 -61.0	3
 -60.0	10
 -59.0	9
 -58.0	6
 -57.0	7
 -56.0	10
 -55.0	2
 -54.0	10
 -53.0	7
 -52.0	11
 -51.0	6
 -50.0	4
 -49.0	3
 -48.0	9
 -47.0	8
 -46.0	6
 -45.0	7
 -44.0	2
 -43.0	7
 -42.0	5
 -41.0	5
 -40.0	3
 -39.0	5
 -38.0	7
 -37.0	5
 -36.0	3
 -35.0	11
 -34.0	7
 -33.0	7
 -32.0	2
 -31.0	8
 -30.0	3
 -29.0	6
 -28.0	4
 -27.0	1
 -26.0	5
 -25.0	4.5
 -24.0	4
 -23.0	3
 -22.0	2
 -21.0	10
 -20.0	4
 -19.0	4
 -18.0	3
 -17.0	6
 -16.0	0
 -15.0	3
 -14.0	4
 -13.0	0
 -12.0	4
 -11.0	0
 -10.0	2
  -9.0	1
  -8.0	2
  -7.0	0
  -6.0	1
  -5.0	2
  -4.0	0
  -3.0	1
  -2.0	1
  -1.0	1
   0.0	0
   1.0	0
   2.0	0
   3.0	0
   4.0	0
   5.0	0
   6.0	0
   7.0	1
   8.0	1
   9.0	2
  10.0	0
  11.0	1
  12.0	0
